date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:13	1037476/1037476	---MCZ	200	added ('OK')	text/css	etag:%226a1837f8c1e36bbb061c18a05dece6fc-ssl-df%22	https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:14	7782/7782	---MCZ	200	added ('OK')	text/css	etag:%222650b56bafd774bcb1c81c452161bd1c-ssl-df%22	https://tedxnuuz.netlify.app/www/lib/Magnific-Popup/dist/magnific-popup.css	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/lib/Magnific-Popup/dist/magnific-popup.css	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:15	26735/26735	---MCZ	200	added ('OK')	text/css	etag:%22a38e31c60bdcc6e9aa7df72c14d7db2e-ssl-df%22	https://tedxnuuz.netlify.app/www/lib/Font-Awesome/css/font-awesome.min.css	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/lib/Font-Awesome/css/font-awesome.min.css	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:16	15196/15196	---MCZ	200	added ('OK')	text/css	etag:%22beb357b687b951ee020ebd12e5cc8c3f-ssl-df%22	https://tedxnuuz.netlify.app/www/lib/select2/css/select2.min.css	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/lib/select2/css/select2.min.css	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:17	12946/12946	---MCZ	200	added ('OK')	text/css	etag:%226900e9677f836d41b2e04bfc156ded98-ssl-df%22	https://tedxnuuz.netlify.app/www/lib/plyr/dist/plyr.css	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/lib/plyr/dist/plyr.css	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:17	918/918	---M--	200	added ('OK')	text/css	etag:%226071cba3a2e6b8917a79f142d70b2e59-ssl%22	https://tedxnuuz.netlify.app/www/css/font.css	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/css/font.css	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:18	34205/34205	---MCZ	200	added ('OK')	text/css	etag:%22b375627b8f39202e877666b228882613-ssl-df%22	https://tedxnuuz.netlify.app/www/css/style.css	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/css/style.css	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:19	4868/4868	---MCZ	200	added ('OK')	text/css	etag:%2279a58637f5b0509b3f31e2a4aab6640e-ssl-df%22	https://tedxnuuz.netlify.app/www/css/color.css	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/css/color.css	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:20	7986/7986	---MCZ	200	added ('OK')	text/css	etag:%224948181ac6fcbc7a73681fcbbacb1689-ssl-df%22	https://tedxnuuz.netlify.app/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1690406052257-HFCA2VVR8R1QMYFLAT56/static.css	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1690406052257-HFCA2VVR8R1QMYFLAT56/static.css	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:21	258717/258717	---MCZ	200	added ('OK')	text/html	etag:%22bc2abe90ee380ef9ba6930bb193aa855-ssl-df%22	https://tedxnuuz.netlify.app/www/cart	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/cart.html	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:22	313791/313791	---MCZ	200	added ('OK')	text/html	etag:%221bc2c5001e90ea737823ce123c878e57-ssl-df%22	https://tedxnuuz.netlify.app/www/	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/index-2.html	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:22	250849/250849	---MCZ	200	added ('OK')	text/html	etag:%22e5d6608eeeb238435d6a870ef3834d54-ssl-df%22	https://tedxnuuz.netlify.app/www/gallery	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/gallery.html	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:23	263052/263052	---MCZ	200	added ('OK')	text/html	etag:%22a20ca45bb8a67c9502ad9440ebfcd5b4-ssl-df%22	https://tedxnuuz.netlify.app/www/homee	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/homee.html	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:24	290619/290619	---MCZ	200	added ('OK')	text/html	etag:%229fedfda846c9c27885882b22dee3f1e9-ssl-df%22	https://tedxnuuz.netlify.app/www/meet-the-board	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/meet-the-board.html	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:25	261141/261141	---MCZ	200	added ('OK')	text/html	etag:%22326430829e651f531cc62e2a2d7c50e4-ssl-df%22	https://tedxnuuz.netlify.app/www/contact	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/contact.html	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:26	256041/256041	---M--	200	added ('OK')	image/jpeg	etag:CLm9rIz5zvwCEAE=	https://images.squarespace-cdn.com/content/v1/63c60a317f81cc43cac47e24/d1ed0a9e-1512-4c4f-b647-f18dc20f1bdc/JasonRosenthal_2018-embed.jpg	C:/Users/Asus/Desktop/TEDa/images.squarespace-cdn.com/content/v1/63c60a317f81cc43cac47e24/d1ed0a9e-1512-4c4f-b647-f18dc20f1bdc/JasonRosenthal_2018-embed.jpg	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:27	256041/256041	---M--	200	added ('OK')	image/jpeg	etag:%22de870bd533bf5f4ebc99f54bb633d3d2-ssl%22	https://tedxnuuz.netlify.app/images.squarespace-cdn.com/content/v1/63c60a317f81cc43cac47e24/d1ed0a9e-1512-4c4f-b647-f18dc20f1bdc/JasonRosenthal_2018-embed.jpg	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/images.squarespace-cdn.com/content/v1/63c60a317f81cc43cac47e24/d1ed0a9e-1512-4c4f-b647-f18dc20f1bdc/JasonRosenthal_2018-embed.jpg	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:27	37820/37820	---MCZ	200	added ('OK')	text/html	etag:%2273b254053f4f6c8008d08567009c9702-ssl-df%22	https://tedxnuuz.netlify.app/www/spealers.html	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/spealers.html	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:28	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1694598657-ssl-df	https://tedxnuuz.netlify.app/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.1c.delayed	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:29	97163/97163	---MCZ	200	added ('OK')	application/javascript	etag:%227502663eedb47b76fd748d314a7d529f-ssl-df%22	https://tedxnuuz.netlify.app/www/js/jquery.js	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/js/jquery.js	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:30	37330/37330	---MCZ	200	added ('OK')	application/javascript	etag:%220f41da90f0136ea5cb21e3516a35611b-ssl-df%22	https://tedxnuuz.netlify.app/www/assets/js/bootstrap.min.js	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/assets/js/bootstrap.min.js	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:31	20947/20947	---MCZ	200	added ('OK')	application/javascript	etag:%229c06170ee0de348d789c389dbc1296ef-ssl-df%22	https://tedxnuuz.netlify.app/www/lib/Magnific-Popup/dist/jquery.magnific-popup.min.js	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/lib/Magnific-Popup/dist/jquery.magnific-popup.min.js	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:31	66664/66664	---MCZ	200	added ('OK')	application/javascript	etag:%223c8160c7b6d25500a0c70a251f80b4ba-ssl-df%22	https://tedxnuuz.netlify.app/www/lib/select2/js/select2.min.js	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/lib/select2/js/select2.min.js	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:32	63573/63573	---M--	200	added ('OK')	image/png	etag:%223179830131f3e313b453cc226bb1015e-ssl%22	https://tedxnuuz.netlify.app/www/images/logo-white.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/images/logo-white.png	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:33	19359/19359	---MCZ	200	added ('OK')	application/javascript	etag:%22e94b77319dedbcfec5e0f31df3381678-ssl-df%22	https://tedxnuuz.netlify.app/www/lib/BxSlider/jquery.bxslider.min.js	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/lib/BxSlider/jquery.bxslider.min.js	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:34	42371/42371	---MCZ	200	added ('OK')	application/javascript	etag:%226987553a5b7d9651a927adf8f12e4cf9-ssl-df%22	https://tedxnuuz.netlify.app/www/lib/plyr/dist/plyr.js	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/lib/plyr/dist/plyr.js	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:35	3745/3745	---MCZ	200	added ('OK')	application/javascript	etag:%22e17df8a139f70586d5491612d1489d14-ssl-df%22	https://tedxnuuz.netlify.app/www/js/custom.js	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/js/custom.js	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:36	179803/179803	---MCZ	200	added ('OK')	application/javascript	etag:%223b1b794acb380fab4322f38d3de97d4a-ssl-df%22	https://tedxnuuz.netlify.app/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/scripts/site-bundle.ac7ae7eb05898197f47fba9af9b0c8b5.js	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/scripts/site-bundle.ac7ae7eb05898197f47fba9af9b0c8b5.js	(from https://tedxnuuz.netlify.app/www/index.html)
23:45:36	1262/1262	---M--	200	added ('OK')	image/png	etag:%2240ce9f5518b71a80a59b13761c7e923a-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/error-dark.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/error-dark.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:37	1676/1676	---M--	200	added ('OK')	image/png	etag:%222df07435171e158da32b2e7b00819669-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/error-dark%402x.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:38	1219/1219	---M--	200	added ('OK')	image/png	etag:%227582a0313358b8b3934dc36ce57e8b7c-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/play-button.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/play-button.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:39	2909/2909	---M--	200	added ('OK')	image/png	etag:%2244ebe5e885979a7ce37cc5683aee4eea-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/play-button%402x.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/play-button@2x.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:41	2968/2968	---M--	200	added ('OK')	image/png	etag:%22f9fdae3beda4458a3c913f8060cdf05b-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/edit-aviary-light.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/edit-aviary-light.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:42	3097/3097	---M--	200	added ('OK')	image/png	etag:%22d62560bf43ca6b2028bceb0513cf5446-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/edit-aviary-light%402x.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/edit-aviary-light@2x.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:44	3051/3051	---M--	200	added ('OK')	image/png	etag:%22bb59ab86112b36d1ec6f95c9d6d62bca-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/edit-info-light.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/edit-info-light.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:45	3420/3420	---M--	200	added ('OK')	image/png	etag:%22f04bc10d771ee240a474dea8101a3dd3-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/edit-info-light%402x.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/edit-info-light@2x.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:46	1042/1042	---M--	200	added ('OK')	image/png	etag:%221ad13eaf138074a4ed829c6c2bd695f6-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/trash-9-light.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/trash-9-light.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:47	990/990	---M--	200	added ('OK')	image/png	etag:%22795ed581223288297f3704b1277f5492-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/trash-9-light%402x.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/trash-9-light@2x.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:48	1057/1057	---M--	200	added ('OK')	image/png	etag:%222d35476b227a5fe6893eb48f19baa6a6-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/trash-9-red.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/trash-9-red.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:49	1048/1048	---M--	200	added ('OK')	image/png	etag:%22328a7052393436d7c345fcacdd2688b8-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/trash-9-red%402x.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/trash-9-red@2x.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:49	3072/3072	---M--	200	added ('OK')	image/png	etag:%222b94fe670b9eb20a3b6d49763b9e5aac-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/getty-16-light.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/getty-16-light.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:50	3374/3374	---M--	200	added ('OK')	image/png	etag:%2222791e11f00abc2d96362a967f5c6785-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/getty-32-light.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/getty-32-light.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:52	3010/3010	---M--	200	added ('OK')	image/png	etag:%2238410b1dea7950ad5cb2b61e2014b90b-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/shopping-cart-16-light.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/shopping-cart-16-light.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:53	3216/3216	---M--	200	added ('OK')	image/png	etag:%22b86c87d8214775f5c4419cbeaf1fb851-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/shopping-cart-32-light.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/damask/shopping-cart-32-light.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:54	561/561	---M--	200	added ('OK')	image/png	etag:%2277d252d80223e0bf00b845fa837c08ef-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/icons/block-indicator-dark.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/icons/block-indicator-dark.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:55	1672/1672	---M--	200	added ('OK')	image/png	etag:%2220d6210151f8604c14f68ac6ed909480-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/icons/block-indicator-dark%402x.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/icons/block-indicator-dark@2x.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:56	2320/2320	---M--	200	added ('OK')	image/png	etag:%22833ade59ea9f0a1c88d95998cb002c12-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/icons/opentable-icons.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/icons/opentable-icons.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
23:45:58	361/361	---M--	200	added ('OK')	image/png	etag:%2206f5887158cab31ccc7f6a1b04321900-ssl%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-dark.png	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-dark.png	(from https://tedxnuuz.netlify.app/static1.squarespace.com/static/versioned-site-css/63c60a317f81cc43cac47e24/7/5c5a519771c10ba3470d8101/63c60a317f81cc43cac47e3e/1428/site.css)
